2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessProcessMng/getDetailData] onto handler 'businessProcessMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessProcessMng/getListData] onto handler 'businessProcessMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessProcessMng/getUser] onto handler 'businessProcessMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessProcessMng/getBusinessTypeList] onto handler 'businessProcessMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessProcessMng/getProcessDetailList] onto handler 'businessProcessMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessProcessMng/saveProcessDetail] onto handler 'businessProcessMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessTypeMng/save] onto handler 'businessTypeMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessTypeMng/delete] onto handler 'businessTypeMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessTypeMng/update] onto handler 'businessTypeMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessTypeMng/index] onto handler 'businessTypeMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessTypeMng/getDetailData] onto handler 'businessTypeMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/businessTypeMng/getListData] onto handler 'businessTypeMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/carShopMng/save] onto handler 'carShopMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/carShopMng/delete] onto handler 'carShopMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/carShopMng/update] onto handler 'carShopMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/carShopMng/index] onto handler 'carShopMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/carShopMng/getDetailData] onto handler 'carShopMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/carShopMng/getListData] onto handler 'carShopMngController'
